fusion_concept,fusion_api,build123d_idiom,build123d_api,fidelity,notes
Extrude feature,"`extrudeFeatures.createInput(profile, operation)`; `setOneSideExtent`/`setSymmetricExtent`; `add()`",`extrude()` consuming pending faces or explicit profile,"`extrude(to_extrude=None, amount=, both=, taper=, until=, dir=, target=, clean=, mode=)`",direct,"`FeatureOperations` -> `Mode` (Join->ADD, Cut->SUBTRACT, Intersect->INTERSECT). ""To entity"" -> `until=` (an `Until` enum). Symmetric -> `both=True`."
Revolve feature,"`revolveFeatures.createInput(profile, axis, operation)`; `setAngleExtent(isSymmetric, ValueInput)`",`revolve()` about an `Axis`,"`revolve(profiles=None, axis=Axis((0,0,0),(0,0,1)), revolution_arc=360.0, clean=, mode=)`",direct,"Fusion angle set after createInput, in **radians**; build123d `revolution_arc` in **degrees**. Default axis is Z (`Axis.Z` equivalent)."
Sweep feature,"`sweepFeatures.createInput(profile, path, operation)`",`sweep()` along a `BuildLine`/`Wire` path,"`sweep(sections=None, path=None, multisection=, is_frenet=, transition=, normal=, binormal=, clean=, mode=)`",direct,Path from a `BuildLine`/`Wire`. Fusion guideRail/twistAngle have no direct sweep arg; build123d folds lofted multi-profile sweeps into `multisection=True`.
Loft feature,`loftFeatures.createInput(operation)`; `loftInput.loftSections.add(profile)`; `loftInput.centerLineOrRails` (`addRail`/`setCenterLine`),`loft()` through ordered sections,"`loft(sections=None, ruled=False, clean=, mode=)`",approximate,Sections map directly. **build123d `loft()` has NO rail/centerline parameter** — only the boolean `ruled`. Guided/multi-rail lofts cannot be reproduced 1:1.
Fillet feature,"`filletFeatures.createInput()`; `filletInput.addConstantRadiusEdgeSet(edges, ValueInput, isTangentChain)` (or `addVariableRadiusEdgeSet`); `filletFeatures.add(input)`",`fillet()` on selected edges (a `ShapeList`),"`fillet(objects, radius)`",approximate,"**Corrected:** edges are added via `addConstantRadiusEdgeSet(...)`, not ""edgeSetInputs.add"". `fillet` takes a **single float radius** per call; variable/chord-length fillets are richer in Fusion."
Chamfer feature,`chamferFeatures.createInput2()`; `input.chamferEdgeSets.addEqualDistanceChamferEdgeSet/addTwoDistancesChamferEdgeSet/addDistanceAndAngleChamferEdgeSet(...)`; `chamferFeatures.add(input)`,`chamfer()` on selected edges,"`chamfer(objects, length, length2=None, angle=None, reference=None)`",direct,"**Corrected:** the modern path is `createInput2()` -> `chamferEdgeSets`. (The old `createInput(edges, isTangentChain)` + `setToEqualDistance` was **retired Dec 2020**; do not pair `createInput` with `chamferEdgeSets`.) Equal-distance -> `length`; two-distance -> `length`+`length2`; distance-angle -> `length`+`angle`."
Shell feature (hollow body),"`shellFeatures.createInput(entities, isTangentChain)`; thickness via `insideThickness`/`outsideThickness`","`offset` with openings, or `thicken` a face","`offset(objects, amount=-t, openings=faces, kind=Kind.ARC)`; `thicken(to_thicken, amount=t)`",approximate,"**No ""shell"" method.** Negative `amount` insets; `openings` = faces to remove. Fusion's asymmetric inside/outside and per-face thickness are not replicated by a single-amount offset."
Hole feature,`holeFeatures.createSimpleInput/createCounterboreInput/createCountersinkInput`; `setPositionBySketchPoint`; `setToSimpleHole/setToTappedHole/setToClearanceHole`,`Hole`-family objects (default `Mode.SUBTRACT`) at `Locations`,"`Hole(radius)`, `CounterBoreHole(...)`, `CounterSinkHole(radius, counter_sink_radius, depth=None, counter_sink_angle=82, mode=Mode.SUBTRACT)`; `with PolarLocations(...)`",approximate,Note Fusion's lowercase compound `createCounterboreInput`/`createCountersinkInput`. build123d holes are static cut geometry with no thread/clearance/standard-size table metadata.
Thread feature,"`threadFeatures.createInput(inputCylindricalFaces, threadInfo)`; `createThreadInfo`","`bd_warehouse` thread classes, or a manual helical sweep",`bd_warehouse.thread.IsoThread / Thread / TrapezoidalThread / AcmeThread / MetricTrapezoidalThread / PlasticBottleThread`,partial,"**Corrected (was ""none""):** the official `bd_warehouse` collection provides real swept-solid thread classes. No cosmetic-thread mode and no `ThreadInfo` standards-table-on-a-selected-face workflow — you instantiate with explicit params and position it."
Combine (boolean) feature,"`combineFeatures.createInput(targetBody, tools)`; `cInput.operation`",Boolean operators (algebra) or `mode=` (builder),`a + b` / `a - b` / `a & b`; `Mode.ADD/SUBTRACT/INTERSECT`,direct,Direct match to Join/Cut/Intersect. Fusion's `keepToolBodies`/`isNewComponent` options have no analog.
Boolean operation enum,`FeatureOperations.JoinFeatureOperation/CutFeatureOperation/IntersectFeatureOperation/NewBodyFeatureOperation/NewComponentFeatureOperation`,"`Mode` enum (or `+`,`-`,`&` / a new Part)",`Mode.ADD/SUBTRACT/INTERSECT/REPLACE/PRIVATE`,approximate,**Corrected:** members carry the `FeatureOperation` suffix. NewBody/NewComponent are **not** boolean modes -> create a separate `Part`/`Compound`. (`REPLACE`/`PRIVATE` are *not* equivalents of NewBody/NewComponent.)
Rectangular pattern,"`rectangularPatternFeatures.createInput(inputEntities, directionOneEntity, quantityOne, distanceOne, patternDistanceType)`; then `setDirectionTwo(...)`",`GridLocations` context (builder) or loop placing copies,"`with GridLocations(x_spacing, y_spacing, x_count, y_count): ...`",approximate,"One `createInput` = 1-D; 2-D needs `setDirectionTwo`. **Spacing semantics:** `SpacingPatternDistanceType` = center-to-center (maps 1:1, no conversion). `ExtentPatternDistanceType` = total span -> convert `spacing = extent / (count - 1)`."
Circular pattern,"`circularPatternFeatures.createInput(inputEntities, axis)`",`PolarLocations` context,"`with PolarLocations(radius, count, start_angle=0.0, angular_range=360.0, rotate=True): ...`",approximate,`rotate=True` aligns copies to the arc (Fusion default). PolarLocations places objects as they are *constructed*; Fusion patterns an *existing* feature.
Mirror feature,"`mirrorFeatures.createInput(inputEntities, mirrorPlane)`",`mirror()` about a `Plane`,"`mirror(objects=None, about=Plane.XZ, mode=Mode.ADD)`",direct,Mirror plane (planar face/construction plane) -> build123d `Plane` (via `Plane(face)` if a face).
Move/Copy feature,`moveFeatures.createInput2(inputEntities)` then `MoveFeatureInput.defineAsFreeMove(transform: Matrix3D)` (or `defineAsTranslateXYZ`/`defineAsRotate`/`defineAsPointToPoint`); `moveFeatures.add(input)`,Place with `Location`/`*` or `.moved()`/`.located()`/`.locate()`,`loc * shape`; `shape.moved(Location)`; `shape.located(Location)`; `shape.locate(Location)`,direct,**Corrected:** `createInput2` takes only the entity collection; the `Matrix3D` goes to `defineAsFreeMove` (orthogonal matrix; no scale/mirror). `Matrix3D` (cm) -> `Location` (×10). `.moved()` = relative copy; `.located()` = absolute copy; `.locate()` = absolute in-place. A Fusion free-move (relative) maps best to `.moved()` / `loc * shape`.
Split body / split face,"`splitBodyFeatures.createInput(splitBodies, splittingTool, isSplittingToolExtended)`",`split()` by a plane/face keeping a side; **body tool -> boolean cut**,"`split(objects=None, bisect_by=Plane.XZ, keep=Keep.TOP, mode=Mode.REPLACE)`",approximate,**Corrected note:** `split()` only bisects by `Plane`/`Face`/`Shell`. A *body* as the splitting tool -> use boolean subtraction (`Part - Part`). `isSplittingToolExtended` (auto-extend finite tool) has no `split()` equivalent. `Keep` = TOP/BOTTOM/BOTH/ALL/INSIDE/OUTSIDE.
Offset (faces/surface) feature,"`offsetFeatures.createInput(entities, distance, operation, isChainSelection)`",`offset()` free function,"`offset(objects=None, amount=0, openings=None, kind=Kind.ARC, side=Side.BOTH, closed=True, mode=Mode.REPLACE)`",approximate,"Fusion args are `entities`/`operation` (not `faces`/`op`). build123d `offset` is overloaded (1D inset, surface offset, solid shell), so broader than Fusion's faces->surface feature."
Construction plane,`constructionPlanes.createInput()` + `setByOffset`/`setByThreePoints`/`setByAngle` + `add()`,`Plane` object/constant,"`Plane.XY.offset(25)`; `Plane(face)`; `Plane(origin, x_dir=, z_dir=)`; `plane.rotated(...)`",direct,"`setByOffset` -> `Plane.offset`. `setByThreePoints` -> derive directions yourself (origin=p1, x_dir=p2-p1, z_dir=(p2-p1).cross(p3-p1)); **no 3-point constructor**. `setByAngle` -> `Plane.rotated` (rotates about the plane's own origin — move origin onto the axis first if needed)."
Construction axis,`constructionAxes.createInput()` + `setByLine`/`setByEdge`/`setByTwoPoints` (+ others) + `add()`,`Axis` object/constant,"`Axis.X/Y/Z`; `Axis((0,0,0),(0,0,1))`; `edge.to_axis()`",direct,"Used for revolve axis, sorting, rotation. build123d `Axis` is a value object, not a timeline feature."
Construction point,`constructionPoints.createInput()` + `setByPoint`/`setByCenter` + `add()`,`Vector`/`Vertex`/`Pos`,"`Vector(x,y,z)`; `Vertex(x,y,z)`; `Pos(x,y,z)`",approximate,"**Corrected (was ""direct""):** Fusion construction point is a persistent parametric feature; build123d targets are transient value objects (`Vertex` is the closest topological analog; `Pos` when a datum frame is intended)."
Base origin planes,`component.xYConstructionPlane`/`xZConstructionPlane`/`yZConstructionPlane`,`Plane` constants,`Plane.XY` / `Plane.XZ` / `Plane.YZ`,direct,Naming-style difference only (lowerCamelCase `xZConstructionPlane` vs `Plane.XZ`). Both right-handed/Z-up; a Y-up Fusion document rotates imported geometry 90° about X.
B-rep topology traversal,`body.faces/edges/vertices/shells/lumps`; `face.loops`; `edge.startVertex/endVertex`,Selector methods returning `ShapeList`,`.faces() .edges() .vertices() .wires() .shells() .solids()`,direct,Both expose flattened collections. Asymmetries: no build123d `lumps()`; build123d adds `solids()`/`wires()` and the filter/sort operators; `compounds()` is an empty stub.
Geometry vs topology (underlying surface/curve),`BRepFace.geometry` (Surface) / `BRepEdge.geometry` (Curve3D); `.evaluator` (SurfaceEvaluator/CurveEvaluator3D),`.geom_type` enum + per-shape evaluation methods + `geom_adaptor()`,`face.geom_type` (`GeomType.PLANE`...); `edge.geom_type` (`GeomType.LINE`...); `normal_at`/`tangent_at`/`position_at`/`geom_adaptor()`,approximate,`geom_type` classifies; the closer analog to Fusion `.geometry` is `geom_adaptor()`. build123d spreads evaluation over `Edge`/`Face` methods rather than a dedicated evaluator object.
Named/tracked entity reference,"`entity.entityToken` + `Design.findEntityByToken()` (persistent); proxy paths (`Comp:1/RedFace`, instance-scoped); `tempId` (session-only)",Runtime geometric selector recipe (re-evaluated each run),`.faces().sort_by(Axis.Z)[-1]`; `.edges().filter_by(GeomType.CIRCLE)`,lossy,"**Corrected:** the persistent token is `entityToken`/`findEntityByToken` (not `tempId`, which is session-only; not proxy paths, which only disambiguate instances). **The topological-naming gap** — translate the *intent* (which face/edge by property), never a raw index."
Component (geometry definition),`Component`; `component.bRepBodies`,A `Part` / sub-`Compound` (bodies -> `part.solids()`/children),"`Part` / `Compound(label=, children=[...])`",approximate,No definition/instance separation; `Part` is a `Compound` subclass.
Occurrence (placed instance + transform),"`Occurrence.component`; `Occurrence.transform2` (`Matrix3D`, cm)",`Compound` child placed via `Location`; reuse via `copy.copy()` + place,"`child2 = copy.copy(child); child2.move(Location(...)); Compound(children=[child2, ...])`",approximate,"**Corrected:** `transform2` is in **cm** (×10). Shallow `copy.copy()` children share geometry (definition/instance-like) with independent Locations; the bare claim ""not a definition/instance split"" understates this."
Proxy (instance-aware entity),`entity.createForAssemblyContext(occurrence)`; `proxy.nativeObject`/`assemblyContext` (top-level occurrence),Resolve to concrete located geometry per placement,(no equivalent),none,"No instance-aware identity/back-reference; select on the placed concrete shape. (Shared geometry exists via `copy.copy()`, but without the proxy identity link.)"
Joints,`component.joints`/`jointOrigins`; rigid/revolute/slider/cylindrical/ball/**planar**/**pin-slot**,build123d joint classes + `connect_to`,"`RigidJoint, RevoluteJoint, LinearJoint, CylindricalJoint, BallJoint`; `a.connect_to(b, angle=/position=/angles=)`",approximate,"**NO `PinSlotJoint`, NO planar joint.** Slider -> `LinearJoint`; cylindrical -> `CylindricalJoint`; revolute -> `RevoluteJoint`; rigid -> `RigidJoint`; ball -> `BallJoint`. Pin-slot -> `LinearJoint`(+angle) or `CylindricalJoint` (note lost 2nd constraint). `connect_to` is directional (self fixed; moving side becomes a `RigidJoint`)."
Assembly structure / browser tree,`rootComponent.occurrences` (direct children; `allOccurrences` recursive),`Compound` tree (anytree),"`Compound(label=, children=[...])`; `.parent`; `show_topology()`",approximate,No dedicated assembly class; labels non-unique; no component/occurrence (definition/instance) distinction carried.
Export STEP,"`exportManager.createSTEPExportOptions(path[, geometry])`; `exportManager.execute(opts)`",`export_step` / `import_step`,"`export_step(shape, path, unit=Unit.MM, ...)`; `import_step(path) -> Compound`",direct,B-rep + STEP colors/labels on **export**; timeline/sketches/constraints/joints do NOT transfer. (import_step returns a `Compound`; color/label restoration on import is undocumented.) The universal interop bridge.
Export IGES / SAT,`createIGESExportOptions` / `createSATExportOptions`,(no build123d path),(no equivalent),none,"**Corrected:** build123d has **no IGES/SAT** import/export. Use STEP, or convert externally at the OCCT level."
Export STL/OBJ/3MF (mesh),"`createSTLExportOptions(...)`; `surfaceDeviation` (cm, linear), `normalDeviation` (rad, angular), `meshRefinement`",`export_stl` / `Mesher`; `import_stl` returns a `Face`,"`export_stl(shape, path, tolerance=, angular_tolerance=)`; `Mesher(unit=Unit.MM)`; `import_stl(path) -> Face`",approximate,"Fusion `surfaceDeviation` (cm, linear) -> `tolerance`; `normalDeviation` (rad) -> `angular_tolerance`. Imported STL is a mesh `Face`, not an editable solid."
Native editable archive,`createFusionArchiveExportOptions(...)` (`.f3d`; `.f3z` for referenced assemblies),The Python `.py` script itself is the editable source,(no equivalent),none,Only path that round-trips Fusion intent. build123d's analog is keeping/sharing the `.py`.
Imported/direct-edit body in a parametric design,"`BaseFeature` (`baseFeatures.add` -> `startEdit` -> `bRepBodies.add(body, targetBaseFeature)` -> `finishEdit`)",`import_step` the frozen body; treat as non-parametric,`import_step(path) -> Compound`; then select faces/edges,approximate,The STEP/BREP bridge for T-spline/sculpt/sheet-metal/direct-edit bodies — not history-reconstructible. build123d has no parametric/non-parametric flag; everything is history-free.
